abs_path,rel_path
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\17.wav,animals\17.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\2485.wav,animals\2485.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\93.wav,animals\93.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\2462.wav,animals\2462.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1.wav,animals\1.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\92.wav,animals\92.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1212.wav,animals\1212.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1775.wav,animals\1775.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\60.wav,animals\60.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\13.wav,animals\13.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1751.wav,animals\1751.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\309.wav,animals\309.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\85.wav,animals\85.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\61.wav,animals\61.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\6.wav,animals\6.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\54.wav,animals\54.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\20.wav,animals\20.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1780.wav,animals\1780.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\83.wav,animals\83.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\2467.wav,animals\2467.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\87.wav,animals\87.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\59.wav,animals\59.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\23.wav,animals\23.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\76.wav,animals\76.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\91.wav,animals\91.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1744.wav,animals\1744.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\1776.wav,animals\1776.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\108.wav,animals\108.wav
D:\Ki1_Nam2_2025\Applied Programming\application-programming-labs-2025\Lab_2\data\animals\7.wav,animals\7.wav
